transaction_type,description,transaction_date,amount,source_file
debit,EE Topup,2026-02-23,-20.0,Feb_March.pdf
debit,TFL Travel,2026-02-20,-1.75,Feb_March.pdf
debit,Deliveroo,2026-02-21,-21.57,Feb_March.pdf
debit,Deliveroo,2026-02-20,-28.8,Feb_March.pdf
debit,Deliveroo,2026-02-22,-28.8,Feb_March.pdf
debit,Deliveroo,2026-02-21,-33.69,Feb_March.pdf
debit,Sweet Spot 20,2026-02-21,-40.58,Feb_March.pdf
debit,Deliveroo,2026-02-24,-33.94,Feb_March.pdf
debit,South Ealing Fruit,2026-02-24,-7.18,Feb_March.pdf
debit,CoOp,2026-02-24,-16.55,Feb_March.pdf
debit,Deliveroo,2026-02-24,-26.34,Feb_March.pdf
debit,AppleComBill 1261,2026-02-26,-7.99,Feb_March.pdf
debit,Ireland McDonalds 27,2026-02-25,-4.98,Feb_March.pdf
debit,174808 Maintenanc Transfer Roofoods Ltd,2026-03-02,-12.15,Feb_March.pdf
debit,TSTB London 27,2026-03-01,-3.0,Feb_March.pdf
debit,Boost Juice Bars,2026-02-27,-9.05,Feb_March.pdf
debit,TFL Travel,2026-02-27,-10.5,Feb_March.pdf
debit,Little South Ealin,2026-02-27,-17.5,Feb_March.pdf
debit,TSTB London 28,2026-02-27,-18.4,Feb_March.pdf
debit,*Bubblekarao Sumup *Creative ZI,2026-02-28,-25.0,Feb_March.pdf
debit,Deliveroo,2026-02-28,-33.94,Feb_March.pdf
debit,Deliveroo,2026-02-28,-43.29,Feb_March.pdf
debit,Deliveroo,2026-02-27,-48.11,Feb_March.pdf
debit,Ronald Sck 5804,2026-02-27,-1000.0,Feb_March.pdf
debit,Ref Friend Costa Coffee 43010,2026-03-03,-2.85,Feb_March.pdf
debit,TFL Travel,2026-03-02,-4.85,Feb_March.pdf
debit,TFL Travel,2026-03-04,-10.5,Feb_March.pdf
debit,Mar Ronald Sck,2026-03-06,-100.0,Feb_March.pdf
debit,156711 Maintenanc Transfer Cash Machine,2026-03-09,-100.0,Feb_March.pdf
debit,ATM Withdrawal,2026-03-07,-14.52,Feb_March.pdf
debit,SQ *Drumsheds,2026-03-07,-14.4,Feb_March.pdf
debit,BoltEuo2603070342,2026-03-07,-18.06,Feb_March.pdf
debit,SQ *Drumsheds,2026-03-07,-28.7,Feb_March.pdf
debit,Little South Ealin,2026-03-07,-33.34,Feb_March.pdf
debit,BoltEuo2603071603,2026-03-07,-34.8,Feb_March.pdf
debit,Deliveroo,2026-03-07,-41.87,Feb_March.pdf
debit,Ronald Sck,2026-03-07,-60.0,Feb_March.pdf
debit,Ref Sent From Revolut Ealing,2026-03-10,-1.0,Feb_March.pdf
debit,TFL Travel,2026-03-09,-6.6,Feb_March.pdf
debit,158691 Maintenanc Transfer Klarna*The,2026-03-12,-16.7,Feb_March.pdf
debit,Deliveroo,2026-03-11,-27.81,Feb_March.pdf
debit,Select Express 12,2026-03-13,-1.99,Feb_March.pdf
debit,Deliveroo,2026-03-12,-12.75,Feb_March.pdf
debit,Deliveroo,2026-03-16,-3.49,Feb_March.pdf
debit,Klarna Fsuk 13,2026-03-13,-10.1,Feb_March.pdf
debit,LT Klarna*Superdrug,2026-03-13,-18.11,Feb_March.pdf
debit,Cloakroom 15,2026-03-13,-2.0,Feb_March.pdf
debit,Purple Owl,2026-03-13,-6.8,Feb_March.pdf
debit,Bar 1,2026-03-13,-10.0,Feb_March.pdf
debit,Resident Advisor T,2026-03-14,-17.3,Feb_March.pdf
debit,E1,2026-03-13,-18.5,Feb_March.pdf
debit,Purple Owl,2026-03-15,-28.0,Feb_March.pdf
debit,BoltEuo2603150809,2026-03-14,-29.37,Feb_March.pdf
debit,Deliveroo,2026-03-15,-36.98,Feb_March.pdf
debit,Deliveroo,2026-03-13,-41.57,Feb_March.pdf
debit,Aditya Iyer,2026-03-13,-50.0,Feb_March.pdf
debit,133249 Maintenanc Transfer Klarna*Roofoods,2026-03-18,-12.15,Feb_March.pdf
debit,LT Dmn* DArkpresents,2026-03-17,-11.0,Feb_March.pdf
debit,Deliveroo,2026-03-17,-18.3,Feb_March.pdf
debit,South Ealing Local,2026-03-19,-3.74,Feb_March.pdf
debit,Deliveroo,2026-03-18,-25.0,Feb_March.pdf
credit,Received From 1Jyothi Mohan I,2026-03-20,390.0,Feb_March.pdf
credit,Received From Aditya Iyer,2026-01-23,4.99,Jan_Feb.pdf
debit,Klarna*Dune,2026-01-26,-17.0,Jan_Feb.pdf
debit,Group Paypal *Reiss,2026-01-23,-29.0,Jan_Feb.pdf
debit,Little South Ealin,2026-01-23,-3.1,Jan_Feb.pdf
debit,TFL Travel,2026-01-24,-3.5,Jan_Feb.pdf
debit,Jan Iceland,2026-01-25,-6.95,Jan_Feb.pdf
debit,TFL Travel,2026-01-24,-10.5,Jan_Feb.pdf
debit,Holland Barrett,2026-01-24,-16.94,Jan_Feb.pdf
debit,TK Maxx,2026-01-25,-27.98,Jan_Feb.pdf
debit,Deliveroo,2026-01-23,-28.75,Jan_Feb.pdf
