transaction_type,description,transaction_date,amount,source_file
Card Purchase,Deliveroo On,21 Feb,21.57,Feb_March.pdf
Card Purchase,Deliveroo On,20 Feb,28.8,Feb_March.pdf
Card Purchase,Deliveroo On,22 Feb,28.8,Feb_March.pdf
Card Purchase,Deliveroo On,21 Feb,33.69,Feb_March.pdf
Card Purchase,Deliveroo On,27 Feb,33.94,Feb_March.pdf
Card Purchase,Deliveroo On,28 Feb,43.29,Feb_March.pdf
Card Purchase,Deliveroo On,28 Feb,48.11,Feb_March.pdf
Card Purchase,Deliveroo On,06 Mar,41.87,Feb_March.pdf
Card Purchase,Deliveroo On,12 Mar,12.75,Feb_March.pdf
Card Purchase,Bar 1 On,15 Mar,10.0,Feb_March.pdf
Card Purchase,E1 On,15 Mar,18.5,Feb_March.pdf
Card Purchase,Deliveroo On,15 Mar,36.98,Feb_March.pdf
Card Purchase,Deliveroo On,13 Mar,41.57,Feb_March.pdf
Card Purchase,Deliveroo On,17 Mar,18.3,Feb_March.pdf
Card Purchase,Iceland On,25 Jan,6.95,Jan_Feb.pdf
Card Purchase,TK Maxx On,24 Jan,27.98,Jan_Feb.pdf
Card Purchase,26 Jan  H & M On,24 Jan,28.19,Jan_Feb.pdf
Card Purchase,Deliveroo On,23 Jan,28.75,Jan_Feb.pdf
Card Purchase,Deliveroo On,25 Jan,42.63,Jan_Feb.pdf
Card Purchase,Deliveroo On,31 Jan,10.36,Jan_Feb.pdf
Card Purchase,Deliveroo On,02 Feb,12.81,Jan_Feb.pdf
Card Purchase,Deliveroo On,03 Feb,15.94,Jan_Feb.pdf
Card Purchase,E1 On,07 Feb,4.0,Jan_Feb.pdf
Card Purchase,E1 On,07 Feb,4.0,Jan_Feb.pdf
Card Purchase,E1 On,07 Feb,5.0,Jan_Feb.pdf
Card Purchase,Deliveroo On,07 Feb,9.61,Jan_Feb.pdf
Card Purchase,Deliveroo On,06 Feb,17.97,Jan_Feb.pdf
Card Purchase,E1 On,07 Feb,23.0,Jan_Feb.pdf
Card Purchase,E1 On,07 Feb,23.5,Jan_Feb.pdf
Card Purchase,Deliveroo On,07 Feb,30.36,Jan_Feb.pdf
Card Purchase,Deliveroo On,09 Feb,31.58,Jan_Feb.pdf
Card Purchase,11 Feb  Deliveroo On,10 Feb,32.38,Jan_Feb.pdf
Card Purchase,13 Feb  Deliveroo On,12 Feb,15.86,Jan_Feb.pdf
Card Purchase,Deliveroo On,13 Feb,27.94,Jan_Feb.pdf
Card Purchase,Deliveroo On,14 Feb,28.97,Jan_Feb.pdf
Card Purchase,Deliveroo On,15 Feb,36.19,Jan_Feb.pdf
Card Purchase,19 Feb  Deliveroo On,18 Feb,32.31,Jan_Feb.pdf
